test_time	commit	tool	problem	instance	ans	elapsed	seed	threads	omp-threads	generations	exchange-interval	exchange-count	pop-count	pop-size	elite	mutant	rhoe	decode	log-step	convergence	system	cpu	host-memory	gpu	gpu-memory	nvcc	g++
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	1098.000000	7.561355	1	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[21578.000000,13508.000000,7447.000000,4313.000000,2470.000000,1950.000000,1646.000000,1312.000000,1273.000000,1204.000000,1197.000000,1170.000000,1170.000000,1154.000000,1154.000000,1154.000000,1154.000000,1154.000000,1154.000000,1154.000000,1154.000000,1154.000000,1154.000000,1154.000000,1143.000000,1143.000000,1143.000000,1115.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000,1098.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	907.000000	7.490116	2	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[22332.000000,13317.000000,7623.000000,4287.000000,2328.000000,1651.000000,1546.000000,1251.000000,1202.000000,1149.000000,1058.000000,1022.000000,1009.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,984.000000,978.000000,978.000000,907.000000,907.000000,907.000000,907.000000,907.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	1061.000000	7.516038	3	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[22026.000000,13223.000000,7739.000000,4473.000000,2680.000000,2090.000000,1652.000000,1547.000000,1428.000000,1298.000000,1252.000000,1168.000000,1168.000000,1136.000000,1123.000000,1123.000000,1123.000000,1123.000000,1123.000000,1123.000000,1123.000000,1123.000000,1123.000000,1123.000000,1072.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1063.000000,1061.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	856.000000	7.591152	4	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[21528.000000,13807.000000,7595.000000,4260.000000,2743.000000,1726.000000,1350.000000,1197.000000,1060.000000,941.000000,933.000000,892.000000,892.000000,880.000000,870.000000,858.000000,858.000000,858.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000,856.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	1360.000000	7.529067	5	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[21548.000000,13921.000000,7978.000000,4853.000000,2824.000000,2137.000000,1637.000000,1586.000000,1533.000000,1507.000000,1468.000000,1419.000000,1396.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1384.000000,1376.000000,1376.000000,1360.000000,1360.000000,1360.000000,1360.000000,1360.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	1047.000000	7.619977	6	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[21854.000000,13081.000000,7499.000000,4084.000000,2468.000000,1747.000000,1464.000000,1359.000000,1288.000000,1206.000000,1201.000000,1187.000000,1163.000000,1131.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1126.000000,1097.000000,1059.000000,1059.000000,1059.000000,1047.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	1039.000000	7.604095	7	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[22249.000000,13644.000000,7817.000000,4247.000000,2774.000000,1822.000000,1567.000000,1388.000000,1320.000000,1249.000000,1176.000000,1142.000000,1107.000000,1079.000000,1073.000000,1067.000000,1067.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000,1039.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	900.000000	7.509112	8	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[22079.000000,13808.000000,8270.000000,4650.000000,2725.000000,1816.000000,1438.000000,1285.000000,1165.000000,1011.000000,960.000000,919.000000,919.000000,914.000000,911.000000,911.000000,911.000000,911.000000,911.000000,911.000000,911.000000,911.000000,911.000000,911.000000,911.000000,911.000000,903.000000,903.000000,903.000000,903.000000,903.000000,903.000000,903.000000,903.000000,903.000000,903.000000,903.000000,903.000000,900.000000,900.000000,900.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	822.000000	7.553172	9	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[22722.000000,13466.000000,7480.000000,4241.000000,2488.000000,1496.000000,1292.000000,1112.000000,990.000000,917.000000,881.000000,857.000000,848.000000,824.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000,822.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-06-28T15:08:57	ce225db9379e3fdfd2f146650d45b93e30943eae	gpu-brkga-fix	scp	scp42	1106.000000	7.565423	10	256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	25	[22225.000000,13607.000000,7702.000000,4363.000000,2521.000000,1815.000000,1465.000000,1385.000000,1317.000000,1168.000000,1168.000000,1168.000000,1157.000000,1144.000000,1139.000000,1124.000000,1124.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000,1106.000000]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
