test_time	commit	tool	problem	instance	ans	elapsed	seed	threads	generations	exchange-interval	exchange-count	pop-count	pop-size	elite	mutant	rhoe	decode	fast-decode	log-step	convergence	system	cpu	host-memory	gpu	gpu-memory	nvcc	g++
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	191790.000	0.969	1	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218309,207357,203927,201788,201366,200429,200429,200141,199546,198884,198433,198043,197715,197348,197067,196609,196609,196248,195692,195091,195091,194516,194516,194107,194077,194059,193739,193639,193523,193152,193105,192781,192776,192395,192352,192183,192183,192126,192115,191790,191790]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	gpu-brkga	cvrp	X-n219-k73	195730.000	1.139	1	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218667,210786,203086,200344,200187,199709,199385,199066,198822,198795,198795,198647,198632,198630,198630,198630,198577,198026,197632,197632,197632,197598,197598,197598,197598,197598,197466,197466,197429,197429,197429,197429,197396,196899,196091,195912,195912,195912,195912,195730,195730]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	190258.000	0.818	2	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[217322,209258,203535,201842,200183,200183,200034,199684,199305,198247,197257,196142,196069,194831,194831,194370,194278,193592,193129,192399,192399,191824,191824,191526,191526,191202,191110,190964,190964,190755,190755,190731,190731,190731,190678,190678,190581,190551,190349,190258,190258]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	gpu-brkga	cvrp	X-n219-k73	195311.000	1.157	2	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218870,213218,207015,202509,201398,200041,199286,198477,198203,197616,197616,197379,197379,197379,197177,197177,197177,197177,196788,196788,196788,196783,196635,196176,196176,196176,196176,196018,196018,196018,196018,196006,196006,196006,195609,195606,195577,195577,195577,195311,195311]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	194626.000	0.818	3	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218218,209503,203894,202763,201486,201122,200356,199346,199143,199143,198693,198197,198197,197189,197035,196859,196407,196181,196181,196158,195961,195845,195845,195835,195751,195741,195651,195299,195259,194994,194945,194893,194893,194893,194893,194866,194726,194627,194627,194627,194626]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	gpu-brkga	cvrp	X-n219-k73	197892.000	1.199	3	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218196,210946,206874,202595,201482,201447,201399,201399,201225,201225,201187,201187,200573,200468,200060,200060,200060,199620,199620,199297,199297,199064,199064,199064,198944,198926,198558,198558,198558,198558,198558,198558,198558,198558,198421,198421,198421,198146,198118,198118,197892]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	192990.000	0.819	4	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219133,208895,204883,203579,202250,201524,201514,201161,200860,199930,199930,199930,199486,198961,198961,198031,197625,197625,197008,196553,196553,196454,196345,195584,195304,194913,194802,194709,194657,194562,194438,194197,193723,193723,193723,193577,193577,193528,193523,193223,192990]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	gpu-brkga	cvrp	X-n219-k73	195415.000	1.139	4	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219215,214020,210666,205524,203632,203059,202423,200211,200211,199150,199006,199006,198519,198519,197850,197613,197481,197481,197249,197120,197108,197043,197043,196902,196899,196899,196692,196386,195789,195789,195789,195596,195596,195596,195596,195596,195596,195596,195596,195596,195415]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	192675.000	0.815	5	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218793,208131,201401,199923,198549,198377,197834,197269,197019,196499,196438,196232,195884,195098,194099,194099,194099,194087,194087,193873,193873,193798,193669,193669,193669,193669,193669,193542,193542,193396,193396,193353,193353,193353,193183,193183,193155,193155,193090,192795,192675]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-01T15:47:18	7ba980452e71bd5e23fa5d251c6fbf99103a2680	gpu-brkga	cvrp	X-n219-k73	195038.000	1.144	5	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218735,214820,207982,204433,201994,201485,200604,200232,199316,198455,198187,197840,197840,197306,196972,196972,196963,196963,196864,196825,196825,196702,196629,196491,196419,196419,196375,196375,196375,196375,196325,196325,196261,196261,195569,195569,195384,195329,195295,195295,195038]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
