test_time	commit	tool	problem	instance	ans	elapsed	seed	threads	generations	exchange-interval	exchange-count	pop-count	pop-size	elite	mutant	rhoe	decode	fast-decode	log-step	convergence	system	cpu	host-memory	gpu	gpu-memory	nvcc	g++
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	133808.000	4.105	1	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[171158,155280,145960,145309,144294,142174,142076,141692,141185,139682,139639,139073,138708,138259,138259,137848,137719,137379,137345,137067,136763,136537,136343,135865,135763,135393,135339,135255,135255,135255,135002,134851,134851,134687,134628,134382,134373,134338,134094,133808,133808]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	136413.000	4.070	2	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[171436,156195,145020,144020,143695,142669,142258,140526,140353,139237,139201,138288,138188,137949,137915,137669,137577,137271,137260,137172,137172,137172,137148,137128,137047,136921,136921,136904,136904,136856,136711,136711,136711,136703,136703,136605,136605,136462,136462,136456,136413]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	134090.000	4.052	3	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[172727,154835,146840,146160,144665,142687,142110,141512,141007,140513,140292,139115,138967,138122,138122,137236,137236,136936,136936,136282,136282,135820,135805,135550,135550,135411,135411,135167,135167,135007,134903,134703,134703,134554,134554,134490,134450,134267,134235,134103,134090]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	136280.000	4.070	4	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[172767,158416,149184,147469,145929,145311,144065,143003,142972,141744,141560,141073,140909,140319,140134,139157,139085,138645,138598,138088,137977,137696,137696,137475,137376,137329,137296,137022,136833,136792,136792,136765,136763,136626,136556,136556,136438,136411,136328,136280,136280]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	133875.000	4.083	5	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[172253,156242,147606,144970,143951,143422,142581,141829,141459,139962,139745,138747,138558,137916,136973,136965,136927,136891,136891,136612,136578,136067,135877,135560,135460,135269,135269,135213,135162,135053,134892,134556,134257,133994,133956,133956,133888,133888,133888,133876,133875]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	137192.000	4.088	6	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[172543,157520,148069,148069,147095,146139,144852,144260,143874,143531,143345,142819,142519,142435,142122,142073,141378,140910,140812,139997,139745,139616,139591,139200,139096,138847,138808,138658,138603,138449,138393,137923,137923,137652,137430,137330,137330,137275,137275,137268,137192]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	134357.000	4.060	7	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[171896,156415,149021,146899,145303,144228,144088,143383,143049,141367,141042,140048,139880,138943,138688,138008,137811,137080,136944,136766,136766,136512,136512,136512,136205,136007,136007,135652,135508,135508,135508,135438,135372,135189,134873,134646,134560,134471,134471,134452,134357]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	136246.000	4.080	8	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[171822,156573,149134,147351,146573,146421,145516,145514,145221,144768,144575,143122,143122,142505,142308,141303,141210,140454,140104,139934,139781,139272,139127,139073,138988,138674,138323,138169,138081,138060,137852,137667,137660,137493,137220,136719,136719,136408,136408,136246,136246]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	137590.000	4.107	9	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[171767,154737,148175,146258,145271,144007,143211,142766,142400,142298,141756,141557,140881,140433,140341,139749,139749,139590,139480,139352,139331,139210,138801,138555,138186,138175,138175,138083,138083,138028,138017,137944,137944,137944,137898,137898,137898,137601,137601,137590,137590]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-02T00:30:45	7ba980452e71bd5e23fa5d251c6fbf99103a2680	brkga-cuda	cvrp	X-n219-k73	136614.000	4.071	10	256	1000	50	2	3	256	0.1	0.1	0.75	device-sorted	0	25	[173078,157012,149864,148630,148124,146581,145724,144819,143895,143288,142658,142211,141829,139885,139885,138838,138758,137600,137600,137538,137538,137439,137439,137393,137393,137393,137263,137254,137254,137239,137239,137026,137026,136900,136869,136864,136734,136733,136733,136614,136614]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	"NVIDIA Corporation GK208B [GeForce GT 710] (rev a1)
NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)"	"GK208B [GeForce GT 710]
 GP104 [GeForce GTX 1070]"	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
