Instance Name,	 brkga-tsp-1 Value,	 brkga-tsp-1 Time,	 brkga-tsp-4 Value,	 brkga-tsp-4 Time,	 brkga-tsp-8 Value,	 brkga-tsp-8 Time,	 cuda-device Value,	 cuda-device Time,	 cuda-host1 Value,	 cuda-host1 Time,	 cuda-host4 Value,	 cuda-host4 Time,	 cuda-host8 Value,	 cuda-host8 Time
zi929.tsp.result,	 932403.19, 34.075042963027954, 932403.19, 16.617544412612915, 932403.19, 21.457538604736328, 948092.81, 14.842000246047974, 940213.38, 28.230348825454712, 940213.38, 11.137311220169067, 940213.38, 9.175739765167236, 
rw1621.tsp.result,	 587952.88, 63.08657717704773, 587952.88, 34.09934663772583, 587952.88, 37.9538996219635, 579833.19, 26.51620602607727, 589232.44, 54.2920024394989, 589232.44, 21.344083070755005, 589232.44, 17.288851499557495, 
ar9152.tsp.result,	 54301180.00, 416.24356985092163, 54301180.00, 210.99632859230042, 54301180.00, 226.7764687538147, 53765484.00, 163.24918746948242, None,	 None,	 None,	 None,	 53739768.00, 125.20377731323242, 
