test_time	commit	tool	problem	instance	ans	elapsed	seed	threads	generations	exchange-interval	exchange-count	pop-count	pop-size	elite	mutant	rhoe	decode	fast-decode	log-step	convergence	system	cpu	host-memory	gpu	gpu-memory	nvcc	g++
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	brkga-cuda	cvrp	X-n219-k73	193357.000	0.840	1	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[217524,208678,202375,200934,200776,200396,199259,198870,198587,198507,198086,197597,197214,196537,196537,196244,196132,195540,195540,195237,195237,195188,195133,194886,194886,194599,194336,194328,194229,194168,194097,194036,193971,193934,193934,193934,193715,193686,193686,193686,193357]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	gpu-brkga	cvrp	X-n219-k73	195865.000	1.253	1	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219501,211693,207013,205523,204907,203845,203709,203097,203097,202914,202485,201811,201171,201171,200596,200177,199783,199538,199082,198849,198572,198572,198572,198521,198521,198521,198310,198249,198197,197850,197837,197345,197318,197318,197318,197318,196273,196273,196273,196181,195865]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	gpu-brkga-fixed	cvrp	X-n219-k73	192810.000	1.143	1	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219501,209352,205960,204303,202819,201961,201077,200453,199625,198962,198608,198012,197787,197434,197434,196631,196586,195720,195654,195140,195140,195100,195100,194991,194712,194580,194544,194232,194107,194002,194002,193792,193792,193666,193496,193370,192966,192850,192850,192810,192810]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	brkga-cuda	cvrp	X-n219-k73	193407.000	0.839	2	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218633,208703,201594,200948,200369,199478,199219,199111,198963,198140,198042,198042,197604,197234,196752,195789,195482,195115,194798,194419,194234,193871,193871,193637,193637,193637,193589,193589,193589,193589,193589,193528,193528,193528,193528,193528,193528,193528,193407,193407,193407]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	gpu-brkga	cvrp	X-n219-k73	194605.000	1.172	2	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219302,211854,209225,203679,201101,199016,198846,198093,197696,197564,197564,197564,197314,197314,197020,196672,196238,196238,196238,196238,196145,196145,195339,195095,195095,194899,194899,194899,194899,194899,194895,194895,194895,194895,194895,194887,194887,194608,194605,194605,194605]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	gpu-brkga-fixed	cvrp	X-n219-k73	193380.000	1.146	2	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219302,209669,204686,204053,202213,200873,199743,199349,199275,198482,198257,197326,196938,196300,196300,196149,196149,196090,196070,196026,195565,195565,195359,195359,195180,194494,194494,194300,194300,194300,194128,193801,193776,193776,193776,193756,193756,193756,193460,193380,193380]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	brkga-cuda	cvrp	X-n219-k73	193645.000	0.838	3	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219282,207178,203034,201622,201620,200748,200196,199238,199201,199118,198137,197967,197967,197371,197365,196856,196856,196856,196791,196539,196106,196060,196060,195904,195904,195706,195706,194872,194872,194388,194388,194191,194191,194191,194191,194045,194045,193928,193882,193847,193645]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	gpu-brkga	cvrp	X-n219-k73	195455.000	1.176	3	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219286,214295,208355,205653,203857,203168,202278,201260,201222,200860,200445,200094,200094,200094,199478,199188,198507,198390,198315,198315,198315,198315,198315,197875,197875,197201,197201,197108,196866,196576,196512,196512,196457,196422,196394,196170,195846,195846,195455,195455,195455]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	gpu-brkga-fixed	cvrp	X-n219-k73	194340.000	1.150	3	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[219286,213409,206348,203744,203744,203744,202989,202050,201581,200575,200066,199620,199377,197916,197836,197505,197505,197253,197253,197238,197130,196782,196782,196539,196430,196259,196259,196048,196048,195895,195485,194900,194782,194407,194366,194366,194366,194340,194340,194340,194340]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
2022-05-18T01:58:37	af9a7e2f6fa23454027ca9c0487ba4395ba49612	brkga-cuda	cvrp	X-n219-k73	193805.000	0.840	4	256	1000	50	2	3	256	0.1	0.1	0.75	device	1	25	[218426,207586,202940,202095,201301,201215,200837,200714,200480,199861,199387,199180,199180,198522,198522,198384,197473,197152,197152,196717,196389,196315,195748,195697,195697,195254,194774,194361,194361,194361,194361,194361,194335,194335,194335,194335,194245,194004,194004,193805,193805]	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	 GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
