version	n	seed	elapsed	fitness
v1	8192	4	29.026888	-2134.138184
v1	8192	5	29.024876	-2140.901367
v1	8192	6	29.020239	-2144.272705
v1	8192	7	29.020895	-2131.364014
v1	8192	8	29.020248	-2140.409668
v1	8192	9	29.020016	-2133.952393
v1	8192	10	29.016685	-2134.634033
v2	128	1	1.467497	-39.958126
v2	128	2	1.465729	-39.966877
v2	128	3	1.466496	-39.953281
v2	128	4	1.466546	-39.967133
v2	128	5	1.466269	-39.961292
v2	128	6	1.468394	-39.961376
v2	128	7	1.468064	-39.949898
v2	128	8	1.467949	-39.958290
v2	128	9	1.466143	-39.948128
v2	128	10	1.468525	-39.966022
v2	256	1	1.886208	-80.974907
v2	256	2	1.885410	-80.975662
v2	256	3	1.886778	-81.034492
v2	256	4	1.885170	-81.032143
v2	256	5	1.887258	-81.017960
v2	256	6	1.885606	-81.079109
v2	256	7	1.885297	-81.043877
v2	256	8	1.885345	-80.978012
v2	256	9	1.883918	-81.035172
v2	256	10	1.885361	-81.089828
v2	512	1	2.824687	-159.814789
v2	512	2	2.822948	-159.743530
v2	512	3	2.827358	-159.739212
v2	512	4	2.824621	-159.704346
v2	512	5	2.827908	-159.777817
v2	512	6	2.828519	-159.826248
v2	512	7	2.832113	-160.013870
v2	512	8	2.829608	-159.705276
v2	512	9	2.829000	-159.795975
v2	512	10	2.830221	-159.888107
v2	1024	1	4.530551	-317.017792
v2	1024	2	4.530090	-317.154175
v2	1024	3	4.531001	-317.731354
v2	1024	4	4.531188	-317.059143
v2	1024	5	4.529939	-317.403748
v2	1024	6	4.527441	-317.466675
v2	1024	7	4.528616	-317.366699
v2	1024	8	4.529263	-316.983887
v2	1024	9	4.527227	-317.461914
v2	1024	10	4.530830	-317.113556
v2	2048	1	7.972695	-616.933655
v2	2048	2	7.972481	-616.061584
v2	2048	3	7.975286	-617.644958
v2	2048	4	7.971107	-616.634460
v2	2048	5	7.969675	-616.260620
v2	2048	6	7.966496	-618.166260
v2	2048	7	7.972090	-616.203369
v2	2048	8	7.969719	-616.384094
v2	2048	9	7.967643	-617.731262
v2	2048	10	7.973083	-616.717468
v2	4096	1	14.897158	-1169.934692
v2	4096	2	14.896714	-1167.737427
v2	4096	3	14.892042	-1168.903687
v2	4096	4	14.894760	-1174.287231
